symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,,2548,dohc,,,mpfi,3.47,2.68,9.0,111,,21,27,13495
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,,four,130,mpfi,3.47,2.68,9.0,111,,21,27,16500
1,?,alfa-romero,gas,std,two,hatchback,rwd,,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,,3.47,9.0,154,,19,26,16500
2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,,10.0,102,5500,24,30,13950
2,164,audi,gas,std,,sedan,4wd,front,99.4,,,54.3,2824,,five,136,mpfi,,3.4,8.0,115,5500,18,22,17450
2,?,audi,gas,std,two,sedan,,front,99.8,177.3,66.3,53.1,2507,ohc,,136,mpfi,3.19,3.4,8.5,110,5500,19,,15250
1,158,audi,gas,,four,,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,,5500,,25,17710
1,?,audi,gas,std,four,wagon,fwd,front,,192.7,71.4,55.7,2954,ohc,five,136,,3.19,3.4,8.5,110,,19,25,18920
1,158,,gas,turbo,four,sedan,,front,105.8,192.7,71.4,55.9,3086,,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
,?,,gas,turbo,two,hatchback,,front,99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,22,?
2,192,,gas,std,two,sedan,rwd,front,,176.8,,54.3,2395,,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,,mpfi,3.31,3.19,9.0,121,4250,21,28,20970
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105
1,,bmw,gas,std,four,sedan,rwd,front,,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,,20,25,24565
0,?,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,,3230,ohc,six,209,mpfi,3.62,3.39,,182,5400,16,22,30760
0,?,bmw,gas,std,two,,rwd,front,103.5,,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315
0,?,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,,8.0,182,5400,15,,
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151
1,98,chevrolet,gas,std,,hatchback,fwd,front,94.5,155.9,63.6,,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,,63.6,52.0,1909,ohc,four,,2bbl,3.03,3.11,,70,5400,38,43,6575
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572
1,118,dodge,gas,std,two,,fwd,,93.7,157.3,63.8,50.8,1876,,four,90,2bbl,2.97,3.23,9.4,,5500,,,6377
1,118,,gas,,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,
1,,,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,,ohc,four,90,,2.97,3.23,9.4,68,5500,31,38,6229
,148,dodge,,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
1,148,,gas,std,four,sedan,fwd,,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
,148,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558
-1,110,,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,,,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,,24,12964
2,137,honda,gas,std,two,hatchback,,,86.6,144.6,63.9,50.8,1713,ohc,four,,1bbl,2.91,3.41,9.6,,4800,49,54,6479
2,137,honda,gas,std,two,hatchback,fwd,,86.6,144.6,63.9,,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,,38,6855
1,101,honda,gas,std,two,hatchback,fwd,front,,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399
1,,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,,1bbl,2.91,3.41,9.2,76,6000,30,34,6529
1,101,honda,gas,std,two,,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129
0,110,honda,,std,four,sedan,fwd,front,,163.4,64.0,54.5,2010,,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295
0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,,9.2,76,6000,30,34,7295
